Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
47,06:21.2,22.3416,21.851,22.7172,22.3667,22.088,22.1356,22.0693,21.9548,22.486,22.3311,22.4897,22.2254,22.2337,22.0493,22.9298,0.0023,-0.7222,21.8509,22.7002,22.4416,22.1937,22.3281,22.3153,21.9069,21.9262,22.2805,22.2959,21.9991,22.2043,22.1135,22.0768,22.3861
48,06:21.5,22.3515,21.8483,22.717,22.3536,22.0914,22.1254,22.0672,21.9706,22.4812,22.3341,22.4848,22.2138,22.2355,22.0292,22.9279,0.0019,-0.7514,21.8444,22.7069,22.4446,22.2006,22.3249,22.3254,21.906,21.9292,22.2895,22.2956,22.0039,22.2262,22.1042,22.0803,22.3819
49,06:21.9,22.3409,21.8531,22.7219,22.3385,22.0926,22.1115,22.067,21.9838,22.4904,22.3311,22.4911,22.218,22.2575,22.0257,22.9272,0.0004,-0.7844,21.8423,22.6999,22.4379,22.1946,22.324,22.3224,21.905,21.9361,22.2879,22.2811,22.0053,22.2329,22.1139,22.084,22.3822
50,06:22.2,22.3409,21.8529,22.7292,22.3374,22.0967,22.0907,22.0661,21.9958,22.4826,22.332,22.4784,22.224,22.2575,22.025,22.9298,-0.0002,-0.8054,21.8525,22.702,22.4416,22.1986,22.32,22.319,21.8951,21.9342,22.2909,22.288,22.0035,22.2433,22.1061,22.072,22.3831
51,06:22.5,22.3404,21.8383,22.7304,22.3214,22.088,22.0595,22.0665,21.9946,22.4742,22.3267,22.4841,22.2203,22.2568,22.0153,22.9349,0.0001,-0.824,21.8571,22.7016,22.4469,22.1916,22.3119,22.3157,21.8902,21.9352,22.2932,22.2855,22.0042,22.2387,22.1086,22.0771,22.388
52,06:22.9,22.3515,21.8501,22.7249,22.3177,22.0852,22.0267,22.0626,22.0011,22.4627,22.3179,22.4841,22.2099,22.266,22.0121,22.9256,0,-0.8369,21.8571,22.705,22.443,22.1928,22.2967,22.3208,21.8932,21.928,22.2881,22.2755,22.0039,22.235,22.0984,22.0748,22.3965
53,06:23.2,22.3481,21.8466,22.7246,22.3147,22.0935,21.9948,22.0649,22.0053,22.4493,22.3172,22.4802,22.2073,22.2753,22.0278,22.9252,-0.001,-0.8474,21.8548,22.7023,22.4386,22.1939,22.3013,22.3148,21.8838,21.9347,22.2839,22.2716,22.0092,22.2355,22.0957,22.0773,22.3997
54,06:23.5,22.3476,21.8425,22.7262,22.305,22.0854,21.9948,22.0619,22.0159,22.4354,22.3145,22.4721,22.2027,22.2582,22.0269,22.9332,-0.0014,-0.8546,21.8497,22.7023,22.433,22.1928,22.2803,22.3074,21.8777,21.9245,22.2819,22.27,22.0185,22.25,22.076,22.0773,22.4018
55,06:23.9,22.3427,21.8351,22.7272,22.3004,22.0826,21.9964,22.0693,22.0289,22.443,22.3133,22.4696,22.1985,22.2531,22.0211,22.9261,-0.0009,-0.858,21.853,22.706,22.4245,22.1946,22.2777,22.3192,21.8773,21.928,22.2832,22.2653,22.0058,22.2487,22.083,22.0849,22.4028
56,06:24.2,22.3425,21.8397,22.7191,22.2946,22.0794,22.0193,22.0735,22.0365,22.4361,22.3059,22.4719,22.1867,22.2577,22.025,22.9261,-0.0003,-0.8617,21.8555,22.7004,22.4296,22.1833,22.2588,22.3201,21.8777,21.9289,22.2802,22.269,22.0134,22.2604,22.0795,22.0583,22.4046
57,06:24.5,22.3488,21.8436,22.7246,22.2969,22.0815,22.0385,22.0834,22.0379,22.4442,22.3108,22.4656,22.1895,22.2475,22.0225,22.9233,-0.0003,-0.8675,21.8543,22.7076,22.4326,22.1946,22.2405,22.3275,21.8849,21.9303,22.2745,22.2589,22.0153,22.2551,22.0767,22.0502,22.403
58,06:24.9,22.3402,21.8399,22.7276,22.3022,22.0854,22.0588,22.0827,22.0286,22.4412,22.3089,22.4548,22.1849,22.2279,22.0324,22.9191,-0.0001,-0.8701,21.8532,22.7092,22.4224,22.1861,22.228,22.3294,21.9004,21.9352,22.2714,22.2603,22.016,22.2528,22.0783,22.0567,22.4095
